id,fullName,prompt
36392,Aldo Patriciello,"Aldo Patriciello, male, born 27 September 1957 in Venafro, Italy. Former Vice President of Molise. Member of the European Parliament since 8 May 2006. Party affiliations: Christian Democracy (1979-1994), Italian People's Party, European Democracy, Union of the Centre, Forza Italia, The People of Freedom, new Forza Italia (until January 2024), Lega (since January 2024). Convicted to four months for illegal financing, not jailed."
197610,Alessandra Basso,"Alessandra Basso, born 14 March 1967 in Treviso, Italy, is a member of the European Parliament representing North-East Italy, affiliated with the League party, serving from 2 July 2019 to 9 June 2024, and is a lawyer by profession, educated at the University of Bologna."
124799,Alessandra Moretti,"Alessandra Moretti, Italian politician, born 24 June 1973 in Vicenza, Italy, nationality Italian, profession Politician, Lawyer, educated at University of Urbino, member of Democratic Party, served as Member of the European Parliament since 2 July 2019 and previously from 1 July 2014 to 15 January 2015, representing North-East Italy, Member of the Italian Chamber of Deputies from 19 March 2013 to 25 June 2014, representing VII (Veneto 1), Deputy Mayor of Vicenza with delegation for education and youth, spokeswoman for Pier Luigi Bersani's campaign for the centre-left primary election in 2012, candidate for President of Veneto in 2015, member of the Committee on the Environment, Public Health and Food Safety, Special Committee on Beating Cancer, Special Committee on the COVID-19 pandemic, and Parliament's delegation for relations with Japan, also part of the Spinelli Group and the European Parliament Intergroup on Children’s Rights."
28429,Alessandra Mussolini,"Alessandra Mussolini, born December 30, 1962, in Rome, Italy. Occupation: Politician, actress (1970-2006). Education: Master of Science in medicine and surgery from Sapienza University of Rome. Party affiliations: MSI (1992-1995), AN (1995-2003), AS (2003-2009), AS (2004-2006), PdL (2009-2013), FI (2013-2018, 2019-present). Offices held: Member of the European Parliament (2004-2008, 2014-2019, 2022-2024), Member of the Senate (2013-2014), Member of the Chamber of Deputies (2008-2013, 1992-2004). Relatives: Granddaughter of Benito Mussolini, daughter of Romano Mussolini, half-sister of Rachele Mussolini, niece of Sophia Loren. Views: Initially opposed to LGBTQ+ rights, later became supportive, feminist, and advocate for women's rights."
99283,Alessandro Panza,"Italian politician, Alessandro Panza, born 15 May 1982 in Domodossola, Italy, Member of the European Parliament for North-West Italy constituency since 2 July 2019, term ending 9 June 2024, affiliated with the League party."
197403,Alex Agius Saliba,"Alex Agius Saliba is a Maltese politician from the Labour Party, born on 31 January 1988 in Pietà, Malta. He studied at the University of Malta and worked as a journalist for One Productions from 2008 to 2013. Agius Saliba advised several Labour ministers from 2013 to 2017, headed the EU Secretariat from 2017 to 2018, and was a member of the Labour Party's National Executive for 10 years. He is a lawyer by profession. In 2018, he married Sarah Agius, former mayor of Żebbuġ, and they reside in Siġġiewi. Agius Saliba was elected as a Member of the European Parliament for Malta in 2019, serving as rapporteur of the Digital Services Act and vice-president of the S&D group since 2021. He received a ""Rising Star"" award at The Parliament Magazine's annual MEP Awards in 2024."
197648,Alexander Bernhuber,"Alexander Bernhuber, an Austrian politician, born on May 18, 1992, in St. Pölten, Austria, is a member of the Austrian People's Party (ÖVP). He attended the Federal Institute of Education and Research Francisco Josephinum and studied at the University of Natural Resources and Life Sciences (BOKU) in Vienna. Bernhuber is a farmer, running a farm with crops and beef cattle in Lower Austria, and worked as an agricultural policy consultant in the Lower Austrian Farmers' Union. He was elected as a Member of the European Parliament in 2019, representing Austria, and serves on the Committee on the Environment, Public Health and Food Safety, the Committee on Petitions, and the Committee on Culture and Education. He is part of the European Parliament Intergroup on Small and Medium-Sized Enterprises (SMEs) and has published a booklet called the Austrian Green Deal, focusing on the implementation of the European Green Deal in Austria. His main objectives include protecting rural livelihoods, strengthening regional and high-quality food and food supply, and making rural areas more attractive. He is the youngest member of the European People's Party in the European Parliament."
197836,Alexander Yordanov,"Alexander Yordanov is a Bulgarian literary critic and politician, born on 13 February 1952 in Varna, Bulgaria, and is of Bulgarian nationality. He was elected as a Member of the European Parliament, representing the constituency of Bulgaria, with a term starting on 2 July 2019 and ending on 15 July 2024."
197537,Alexandr Vondra,"Alexandr Vondra, Czech politician and diplomat, born 17 August 1961 in Prague, Czech Republic, married with four children, graduated in geography from Charles University in Prague in 1984, Doctor in Natural Sciences degree in 1985, dissident and Charter 77 signatory in the mid-1980s, imprisoned for two months in 1989, co-founder of the Civic Forum in November 1989, foreign policy advisor to President Václav Havel from 1990 to 1992, First Deputy Minister of Foreign Affairs from August 1992, Czech Ambassador to the United States from 1997 to 2001, Government Commissioner for the preparation of the 2002 Prague summit of NATO from 2001 to 2003, Deputy Foreign Minister from January to July 2003, member of the Civic Democratic Party since 2006, Senator from Litoměřice from 2006 to 2012, Minister of Foreign Affairs from 2006 to 2007, Deputy Prime Minister for European Affairs from 2007 to 2009, Minister of Defence from 2010 to 2012, Member of the European Parliament since 2019, director of the Prague Centre for Transatlantic Relations at the CEVRO Institute in Prague from 2012 to 2019, instructor at the CEVRO Institute, pro-United States and wary of European integration."
183916,Alexandra Geese,"Alexandra Geese, a German politician and member of the European Parliament for the Alliance 90/The Greens party since 2 July 2019, representing the constituency of Germany. Born on 1 July 1968 in Lippstadt, West Germany, and educated at Cologne University of Applied Sciences. Prior to her political career, she worked as an interpreter in Italy from 1987 to 2010 and at the European Parliament from 2015 to 2019. She has served on the Committee on Budgets, Committee on the Internal Market and Consumer Protection, and Special Committee on Artificial Intelligence in a Digital Age. She is also part of the Parliament's delegations for relations with Iraq and Latin America, and a member of the European Internet Forum, European Parliament Intergroup on Artificial Intelligence and Digital, European Parliament Intergroup on Anti-Racism and Diversity, and European Parliament Intergroup on Children's Rights. She has been involved in coalition negotiations in Germany, including the 2021 traffic light coalition and the 2022 North Rhine-Westphalia state elections. She has three daughters and lives in Bonn's Kessenich district."
197710,Alexandra Phillips,"Alex Phillips, a British Green Party politician, born 9 July 1985 in Liverpool, England, UK, of Jewish heritage, with a degree in French Studies from the University of London Institute in Paris and a PGCE from the UCL Institute of Education. She was a Labour Party activist from 2001-2003, then joined the Green Party in 2003 due to Labour's decision to invade Iraq. She was a Brighton and Hove City councillor from 2009-2023, representing the Goldsmid ward from 2009-2015 and the Regency ward from 2015-2023. Phillips was Mayor of Brighton and Hove from 22 May 2019 to 15 May 2020, and a Member of the European Parliament for South East England from 2 July 2019 to 31 January 2020. She worked as a French and German language secondary school teacher, and as the policy lead at the HIV and sexual health charity, Terrence Higgins Trust. Phillips is married to Tom Druitt, a fellow Green Party councillor and managing director of The Big Lemon, with whom she has two children."
99461,Alexandra Phillips,"Alexandra Phillips, a journalist, broadcaster, and former politician, was born on 26 December 1983 in Gloucester, England. She studied English literature and philosophy at Durham University and broadcast journalism at Cardiff University. Phillips worked as a local journalist for ITV and BBC Wales before joining the UK Independence Party (UKIP) as head of media. She left UKIP in 2016 and joined the Conservative Party, then the Brexit Party in 2019, and Reform UK in 2023. Phillips served as a Brexit Party member of the European Parliament for the South East England constituency from 2019 to 2020. She was a member of the Committee on Development and the delegation for relations with South Africa. Phillips has also worked as a presenter on GB News and talkRADIO, and has contributed to The Daily Telegraph. Her notable works include ""McCoy & Phillips"", ""The Great British Breakfast"", ""The Afternoon Agenda"", and ""We Need To Talk About...""."
197819,Alexis Georgoulis,"Alexis Georgoulis, a Greek actor and politician, born on 6 October 1974 in Larissa, Greece. His father worked for OPAP and his mother taught kindergarten. Georgoulis served in the Hellenic Army and studied civil engineering at the National Technical University of Athens. He began acting in 1996 and gained fame with his co-starring role in 2001's Eisai to Tairi mou. He is a member of Syriza and was elected to the European Parliament on 26 May 2019 for a four-year term, with a platform that included promoting Greek cinema. He was expelled from Syriza and The Left in the European Parliament – GUE/NGL in 2023 due to an alleged case of sexual harassment. His term in the European Parliament started on 2 July 2019 and is set to end on 16 July 2024."
124781,Alfred Sant,"Alfred Sant, a Maltese politician and novelist, born on February 28, 1948, in Pietà, Malta. Education: University of Malta (BSc, MSc), École nationale d'administration (MPA), Boston University (MBA), Harvard University (DBA). Leader of the Labour Party from 1992 to 2008. Prime Minister of Malta from 1996 to 1998. Leader of the Opposition from 1992 to 1996 and 1998 to 2008. Member of the European Parliament for Malta from 2014 to 2024. Published several books, including novels, plays, and non-fiction works. Awarded Companion of Honour of the National Order of Merit in 1996."
197395,Alice Bah Kuhnke,"Alice Bah Kuhnke, a Swedish politician, born on 21 December 1971 in Malmö, Sweden, to a Gambian father and a Swedish mother. She was raised in Horda, Jönköping, and attended a track-and-field-oriented high school in Växjö. Bah Kuhnke is a former television presenter, hosting shows such as ""Disney Club"" and ""Kalla fakta."" She has been married twice, first to Henrik Johnsson from 1998 to 2002, and then to Johannes Kuhnke from 2003 to 2023, with whom she has three daughters. Bah Kuhnke was the Director General for the Swedish Agency for Youth and Civil Society from 2013 to 2014 and worked as General Secretary for Fairtraide Sweden from 2004 to 2007. She served as Minister of Culture and Democracy in the Löfven Cabinet from 2014 to 2019 and has been a Member of the European Parliament since 2019, representing the Green Party. She is currently the Vice-Chair of the Group of the Greens/European Free Alliance and serves on several committees, including the Committee on Civil Liberties, Justice and Home Affairs and the Committee on Women's Rights and Gender Equality."
122978,Alicia Homs Ginel,"Alícia Homs Ginel, a Spanish politician, born 15 October 1993 in Palma de Mallorca, Spain, obtained a degree in Political Science and Public Management at the Autonomous University of Barcelona, worked as technical advisor to the Regional Ministry of Labor of the Balearic Islands, elected as a Member of the European Parliament for Spain since 2 July 2019, served on the Committee on Employment and Social Affairs, part of the European Parliament Intergroup on Disability, the European Parliament Intergroup on Seas, Rivers, Islands and Coastal Areas and the Spinelli Group, member of the Spanish Socialist Workers' Party."
212855,Alin Mituța,"Alin Mituța is a Romanian politician, born on May 24, 1984, in Novaci, Gorj County, Romania. He holds a master's degree in European affairs from Sciences Po Paris, a BA in political science from Paris Nanterre University, and a BA in international relations and European studies from the National University of Political Studies and Public Administration. He is a member of the REPER party since 2022 and is affiliated with the Renew Europe Group in the European Parliament. Mituța has been serving as a Member of the European Parliament since December 28, 2020, and is part of several committees, including the Committee on Budgetary Control, Committee on Agriculture and Rural Development, and the Special Committee on Beating Cancer. He has proposed and negotiated the abolition of extra-fees for intra-EU communication and has called for the European Commission to stop the United Kingdom from holding EU nationals in immigration removal centers."
204335,Alviina Alametsä,"Alviina Alametsä, a Finnish politician of the Green League, born on 29 September 1992 in Tampere, educated at Jokela High School and the University of Helsinki with a specialization in world politics, worked as a project leader at Mental Health Partnership Finland, assistant of Pekka Haavisto in the Finnish Parliament, and city councillor of Helsinki, chairs its equality committee, served as a Member of the European Parliament from 1 February 2020 to 15 July 2024, and as a Member of the Finnish Parliament for Helsinki since 16 July 2024."
28508,Alyn Smith,"Alyn Smith, born 15 September 1973 in Glasgow, Scotland, is a Scottish politician and member of the Scottish National Party (SNP). He studied law and European law at the University of Leeds, spent a year on the Erasmus Programme at the University of Heidelberg, gained a master's degree in European studies from the College of Europe, and received a Diploma in Legal Practice from Nottingham Law School. He qualified as a lawyer with Clifford Chance and worked with Anderson Strathern. Smith was a director of Turning Point Scotland and a trustee of LGBT Youth Scotland. He is Honorary Vice President of the Scottish Society for the Prevention of Cruelty to Animals (SSPCA). He was elected as an MEP for Scotland in 2004 and served until 2019, then as the Member of Parliament (MP) for Stirling from 2019 to 2024. He has been serving as SNP Spokesperson for Europe and EU Accession since December 2022. He is openly gay and married his long-time partner Jonathon Ramsay in 2023."
247737,Ana Collado Jiménez,"Ana Collado Jiménez, a Spanish politician from the People's Party, born on 8 February 1984 in Ávila, serving as a Member of the European Parliament since 6 September 2023, representing Spain, replacing Esteban González Pons."
254720,Ana Miguel dos Santos,"Ana Miguel Marques Neves dos Santos, born 12 September 1981 in Coimbra, Portugal, is a Portuguese politician and lawyer who is a member of the Social Democratic Party. She served as a member of the Assembly of the Republic for Aveiro from 25 October 2019 to 28 March 2022. She became a Member of the European Parliament for Portugal on 2 April 2024, succeeding Paulo Rangel, and served until 15 July 2024."
24942,Ana Miranda Paz,"Ana Maria Miranda Paz, a Spanish politician from Galicia, was born on 2 May 1971 in Cuntis, Galicia, Spain. She is a member of the Galician Nationalist Bloc and has served in the European Parliament three times. Miranda Paz holds a degree from the University of Santiago de Compostela and works as a lawyer and politician. She was first elected to the European Parliament in 2012 as a member of the Europe of the Peoples–Greens electoral alliance, replacing Oriol Junqueras. Miranda Paz served until 2013. In the 2014 European elections, she stood on the list of The Peoples Decide alliance and took over the seat in February 2018, joining the parliamentary group of the Greens/European Free Alliance in March. In the 2019 election, the Galician nationalists were allied with the electoral coalition Ahora Repúblicas, and Miranda Paz replaced Pernando Barrena in September 2022."
254718,Anabela Rodrigues,"Anabela Lopes Rodrigues, a Portuguese politician from the Left Bloc, born 18 October 1976, member of the European Parliament for Portugal since 26 March 2024, replacing Marisa Matias, first black MEP from Portugal."
124875,Anders Primdahl Vistisen,"Anders Primdahl Vistisen, born 12 November 1987 in Vridsted, Central Denmark Region, Denmark, is a Danish politician and Member of the European Parliament. He is a member of the Danish People's Party and has been affiliated with the European Conservatives and Reformists and the Identity and Democracy Party. Vistisen was the national chairman of the youth section of the Danish People's Party from 2012 to 2015. He studied at the University of Berlin. Vistisen was a member of the European Parliament from 1 July 2014 to 1 July 2019 and was re-elected on 22 November 2022, representing the constituency of Denmark."
124714,Andor Deli,"Andor Deli, born 2 May 1977 in Bečej, Serbia, is a Hungarian politician from Vojvodina, Serbia. He is a member of the European People's Party and has been a Member of the European Parliament for Hungary's Fidesz since 1 July 2014, representing the Hungary constituency. Deli was educated at the University of Novi Sad Faculty of Law, where he earned a degree of jurist in 2000, passed a judicial examination in 2004, and earned a master's degree in 2008. He worked for the Provincial Secretariat for Education, Administration and National Community in the Autonomous Province of Vojvodina from 2002 to 2014 and was appointed head of the secretariat and Vice President of the Government of Vojvodina in 2012. Deli is a member of the Committee on Transport and Tourism, the Delegation to the EU-Serbia Stabilisation and Association Parliamentary Committee, and a substitute member of the Committee on Regional Development and the Delegation to the ACP–EU Joint Parliamentary Assembly. He is affiliated with the Alliance of Vojvodina Hungarians and Fidesz parties. Deli has two daughters and can be found online at https://deli.fidesz-eu.hu/hu/."
124712,Andrea Bocskor,"Andrea Bocskor is a Hungarian politician and Member of the European Parliament from Hungary, born on 11 August 1978 in Berehove, Ukrainian SSR, Soviet Union. She is a member of Fidesz, has Hungarian and Ukrainian citizenship, and lives in Berehove, Ukraine. Her educational background includes a degree in English-History from the Trascarpathian Hungarian Teachers' Training College and a PhD from ELTE-BTK in Budapest in 2010, as well as the title of Candidate of Historical Sciences from the Institute of Ukrainian History-National Academy of Science in Kiev in 2013. Before becoming an MEP in 2014, she worked as a docent at the Ferenc Rákóczi II Transcarpathian Hungarian Institute and Director of the Lehoczky Tivadar Institute. Her main political aims include representing the Transcarpathian Hungarian minority in the EU, promoting the rights of national minorities, European cultural and linguistic diversity, and ensuring the use of minority languages at the European level, as well as supporting European integration and the political and economic stability of Ukraine."
197797,Andrea Caroppo,"Andrea Caroppo, born 26 June 1979 in Minervino di Lecce, Italian nationality, lawyer by profession, educated at Università Cattolica del Sacro Cuore, member of the South Ahead party, elected to the European Parliament representing Southern Italy since 2 July 2019."
96880,Andrea Cozzolino,"Andrea Cozzolino, Italian politician, born 3 August 1962 in Naples, Italy, married to Anna Normale with three children. Member of the European Parliament (MEP) since 2009, representing the Southern Italy constituency. Party affiliations: Italian Communist Party (PCI) until 1991, Democratic Party of the Left (PDS) from 1991 to 1998, Democrats of the Left (DS) from 1998 to 2007, Democratic Party (PD) since 2007, Progressive Alliance of Socialists and Democrats (S&D) since 2009, and European Socialist Party (PES) since 2014. Served on various committees including Committee on Regional Development, Committee on Budgetary Control, Committee on Budgets, Committee on Petitions, and Subcommittee on Human Rights. Vice-president of the Committee on Regional Development and rapporteur for the European Parliament on the proposal for a Regulation on the Regional Development Fund for 2021–2027 and on the Cohesion Fund. Involved in the Qatargate scandal, charged with bribery, membership of a criminal organisation, and money laundering, currently conditionally released from house arrest."
197443,Andreas Glück,"Andreas Glück, a German politician, born on March 8, 1975, in Münsingen, West Germany. He is a member of the Free Democratic Party (FDP) and the Alliance of Liberals and Democrats for Europe. He studied human medicine at the University of Tübingen. Glück worked as a surgeon and was a member of the Landtag of Baden-Württemberg from 2011 to 2018. Since 2019, he has been serving as a Member of the European Parliament, representing Germany. He is part of the Committee on the Environment, Public Health and Food Safety, the Special Committee on the COVID-19 pandemic, and several intergroups, including the European Parliament Intergroup on Freedom of Religion or Belief and Religious Tolerance, the European Parliament Intergroup on Seas, Rivers, Islands and Coastal Areas, and the MEPs Against Cancer group."
197670,Andreas Schieder,"Andreas Schieder, born 16 April 1969 in Vienna, Austria, is a male politician from the Social Democratic Party of Austria. He has one son. He graduated with a master's degree in economics from the University of Vienna. He was a member of the National Council from 2006 to 2019. He served as state secretary in the Ministry of Finance from 2008 to 2013 under Chancellor Werner Faymann. He was the parliamentary leader of the Social Democratic Party in the National Council from 2013 to 2017. Since 2019, he has been a Member of the European Parliament, serving on the Committee on Foreign Affairs. He has been a deputy chairman of the Social Democratic Party of Austria since 2016. He is a member of the European Parliament Intergroup on LGBT Rights and the URBAN Intergroup. He was awarded the Grand Decoration of Honour in Silver with Sash in 2011."
28223,Andreas Schwab,"Andreas Schwab, born 9 April 1973 in Rottweil, Baden-Württemberg, Germany, is a German politician and member of the European Parliament for Germany, representing the Christian Democratic Union and the European People's Party. He has been a member of the European Parliament since 1 July 2004, serving on the Committee on the Internal Market and Consumer Protection, where he deals with network and information security. He is the European People's Party Group's coordinator on the committee. He has also served as rapporteur on the ECN+ Directive and the Digital Markets Act. Schwab is a member of the European Parliament's Sky and Space Intergroup and the European Parliament Intergroup on Biodiversity, Countryside, Hunting and Recreational Fisheries. He holds memberships in various organizations, including the University of Freiburg's Advisory Board, the Franco-German Institute's Board, and the European Council on Foreign Relations. Schwab has received awards such as the ""Young European of the Year"" in 1998 and the Federal Cross of Merit of the Federal Republic of Germany in 2018. He is Of Counsel with CMS Hasche Sigle since 2009 and has studied at the University of Freiburg, Sciences Po, and the University of Wales."
197849,Andrei Slabakov,"Andrei Petrov Slabakov, a Bulgarian politician, was born on 13 August 1960 in Sofia, Bulgaria. He is a member of the VMRO – Bulgarian National Movement party and has been a Member of the European Parliament since 2 July 2019, representing the Bulgaria constituency, with his term set to end on 15 July 2024."
197803,Andrew England Kerr,"Andrew England Kerr is a British politician born on 23 September 1958 in Birmingham, Warwickshire, England. He is married to Sally Annaliese England Kerr. He qualified as a solicitor in 1985, specialising in property law, and has worked as a director of England Kerr Hands & Co, Englands Estate Agents, and England Safety Ltd. He voted for Brexit in the 2016 United Kingdom European Union membership referendum and supports Brexit due to concerns about the European Union's corruption and undemocratic nature. He was elected as a Brexit Party Member of the European Parliament for the West Midlands constituency in the 2019 European parliamentary election but became an independent MEP on 29 September 2019 after the Brexit Party withdrew the whip due to a likely conflict of interest. He served as a member of the Committee on Industry, Research and Energy and was part of the delegation to the EU-Kazakhstan, EU-Kyrgyzstan, EU-Uzbekistan and EU-Tajikistan Parliamentary Cooperation Committees and for relations with Turkmenistan and Mongolia from 2 July 2019 to 31 January 2020."
97968,Andrey Kovatchev,"Andrey Kovatchev is a Bulgarian politician, born on 13 December 1967 in Sofia, Bulgaria. He holds a degree in Biology from Saarland University, Germany, where he also obtained his PhD. Kovatchev is a member of the European People's Party (EPP) and the Bulgarian party GERB. He has been a Member of the European Parliament since 2009, representing the Bulgaria constituency. Kovatchev has held various positions, including Quaestor of the European Parliament from 2014 to 2019, vice-chairman of the Committee on Foreign Affairs, and chairman of the Union of European Federalists in Bulgaria. He is a strong supporter of European integration, federalism, and the single currency. Kovatchev has expressed concerns about discrimination in North Macedonia, especially towards citizens who declare their Bulgarian identity, and has advocated for the preservation of cultural heritage and the opening of communist archives. He supports a visa-free regime between the EU and Western Balkan countries and has proposed merging the positions of President of the European Council and the European Commission into one President of the European Union, elected directly by European citizens."
107212,Andrey Novakov,"Andrey Grishev Novakov, a Bulgarian politician and member of the European Parliament, representing the GERB party and affiliated with the European People's Party. Born on July 7, 1988, in Pazardzhik, Bulgaria, and grew up in Mominia Klisura. He studied at Southwest University ""Neofit Rilski"" in Blagoevgrad, acquiring a bachelor's degree in Public Administration in 2011 and a master's degree in Law in 2014. He specialized in the United States within a program for young leaders in 2014. Novakov was President of the Student Parliament at Southwest University, chief editor of the student newspaper ""Vestnikat"", and deputy chairman of European Democrat Students. He worked as a public relations expert in the municipality of Blagoevgrad and held positions as regional coordinator of Youth GERB, International Secretary of Youth GERB, and candidate for member of the Bulgarian parliament. Novakov is a member of the Committee on Regional Development, substitute-member of the Committee on Budgets and the Committee on budgetary control. He is a laureate of the Forbes magazine ranking ""30 under 30"" for most successful young people in section ""Politics"". He was elected co-chair of the Commission on Sustainable Development in EUROLAT in 2015. He is married to Tatyana Novakova from 2017 to 2023 and has one child."
